trial,generation,direction,score,lateral_term,forward_penalty,yaw_penalty,lateral_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,off_axis_forward_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
10,1,right,-2.114524600078669,-0.17089526195285293,0.018741007756084112,0.15056531986580154,1.8544763097642645,0.001499280620486729,0.025634289292927936,-0.025634289292927936,0.001499280620486729,0.030113063973160308,6.0,False,0.03758314996957779,-0.21055121126786047,2.8621684973454587e-05,1.3630319585730724,0.49912929130723693,-0.6842571152387746,0.23439327515932185,1.0008643264763188,2.0592289430282467,0.7978813031459562,-0.03311982043898054,0.04282664626024102
11,1,right,-3.1217603621547982,-0.06954391902661432,1.2218333396729062,1.6823295058187915,1.3477195951330716,0.0977466671738325,0.010431587853992147,-0.010431587853992147,0.0977466671738325,0.3364659011637583,6.0,False,0.40243786573410034,-0.4738038337278371,0.39696917546207255,1.0051561052991804,-0.8327958558453581,-2.3072231201675555,0.6714407559468758,1.4917078439066243,0.33902259906522136,-1.534527908725815,0.1787570029379768,0.2062244739049247
12,1,right,-1.222593760272326,0.021538035452210575,0.4466540185290039,0.06903386915147654,0.8923098227389471,0.03573232148232031,-0.003230705317831586,0.003230705317831586,0.03573232148232031,-0.013806773830295308,6.0,False,0.23236127197742462,-0.34370091951762816,0.39374264084535004,1.340926268922921,0.8869694745974135,0.5945907922073248,0.4616165167093843,1.4692340231785543,1.519910615143644,2.0012543913413356,-0.1329367321484528,-0.1574892469257402
13,1,right,-4.515529995354378,-0.3914607653181303,1.0075993205929052,0.9136144947773964,2.9573038265906515,-0.08060794564743241,0.05871911479771954,-0.05871911479771954,0.08060794564743241,0.1827228989554793,6.0,False,0.23193158209323883,-0.5945786811762401,0.06323595293047016,0.9952608571286625,-0.03915069339480137,-1.4401865275575119,0.2736751333665747,1.499844407796032,-0.470732757231346,2.0244776916420433,-0.04620955571201002,0.0434306271351918
14,1,right,-1.1262440956772142,0.0320636560679402,0.07106006426584752,0.5333011136051591,0.8396817196602989,0.0056848051412678015,-0.004809548410191029,0.004809548410191029,0.0056848051412678015,-0.10666022272103182,6.0,False,0.11167151480913162,-0.2733594448182417,0.27200214199934325,1.1011610548400839,-0.5922799342419265,-1.8683053653877806,0.21319647514052895,1.2810384829232482,0.1432335973702048,1.0330308162926345,0.03615019440489109,-0.10763215486836925
15,1,right,0.5002149007245882,0.810154447535751,0.12195722923170241,0.4385291611535239,0.0,0.009756578338536192,-0.12152316713036265,0.12152316713036265,0.009756578338536192,-0.08770583223070479,6.0,False,0.2652452886104584,-0.5054361187954457,0.0004378962640689175,1.22782626619309,2.2511784615350194,-1.7471121550631785,0.6417442419638648,1.0357562708917787,-0.40805273913296425,-0.688387111640751,0.008020713598054452,-0.3785763291478317
16,1,right,-1.1103913623939639,0.09648826068518021,0.8864745318900571,0.1274203142264374,0.5175586965740989,0.07091796255120457,-0.01447323910277703,0.01447323910277703,0.07091796255120457,0.02548406284528748,6.0,False,0.25392985343933105,-0.29600940367129436,0.3445415995010348,1.1733724725008492,1.4136305670889513,-1.063216441196983,0.3435946499534171,1.3809949557696062,1.1815820380334499,-0.0007758288972734562,0.4498217599134663,-0.14573343336985123
17,1,right,-0.3277184942316354,0.18652676064838966,0.35655237683688673,0.38506498812852025,0.06736619675805171,-0.02852419014695094,-0.027979014097258448,0.027979014097258448,0.02852419014695094,-0.07701299762570406,6.0,False,0.23799501359462738,-0.5081247287105123,0.22479491701096957,1.1732252019715155,-2.071475365608064,1.1129743187056906,0.21184024002908056,1.499589742032399,-0.9726269365029303,-2.281555943845674,0.13436160907712735,0.1257601920091851
18,1,right,-0.389028747630605,0.4769590838085311,0.5086796227655448,1.0033325394714754,0.0,-0.04069436982124359,-0.07154386257127966,0.07154386257127966,0.04069436982124359,-0.20066650789429508,6.0,False,0.4122912883758545,-0.5547651003717065,0.4079737394979639,0.961310743394843,0.3595923089016795,-1.060634005454018,0.559532722628968,1.0263864623807633,-1.2618394757034364,0.9573928803950409,0.151006499953109,-0.0665870196629253
19,1,right,-0.2965263897466986,0.7318154364873667,0.532546779831433,1.3072193231377487,0.0,0.04260374238651463,-0.109772315473105,0.109772315473105,0.04260374238651463,-0.26144386462754976,6.0,False,0.09747093915939331,-0.25126895003316474,0.1703794139961287,0.92589836029968,0.12436012272918218,-0.7653339689807916,0.2554381614940305,0.829306849870707,0.055934604964260615,2.949673016104388,-0.02663608397342415,-0.26383576162373834
