trial,generation,direction,score,lateral_term,forward_penalty,yaw_penalty,lateral_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,off_axis_forward_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
31,3,left,-0.9806220204905312,0.1749607713138232,0.5465984800992907,1.281436301129998,0.12519614343088395,0.04372787840794325,0.02624411569707348,0.02624411569707348,0.04372787840794325,0.2562872602259996,6.0,False,0.3524780869483948,-0.6317990448058615,0.07444209287144041,0.7552695243240944,1.499009108336315,-3.137001465886964,0.024494286685788,0.6713898521296661,0.17438753392429573,2.30485297588279,0.49989208221920034,-0.04493910541800017
32,3,left,-0.3768128550454269,0.220118664207734,0.29385069144959475,0.7712349307750458,0.0,0.023508055315967582,0.0330177996311601,0.0330177996311601,0.023508055315967582,0.15424698615500917,6.0,False,0.28092849254608154,-0.5540086018497365,0.17074252577268217,0.9917514517648084,2.027799592958001,0.22124622602520017,0.12598268733329213,0.5250977936662155,2.9284149921629865,-0.6888405176296537,0.32667564493024903,0.12808000396357977
33,3,left,-1.9623616139940805,-0.11267681879375077,0.11986648801482376,0.40147661067287177,1.5633840939687538,0.0095893190411859,-0.016901522819062615,-0.016901522819062615,0.0095893190411859,-0.08029532213457435,6.0,False,0.08279271423816681,-0.20855320340369388,0.020601091966351973,1.190891552720692,-0.16780833650207772,-1.6808666510915211,0.2635755859205522,0.883601749768442,2.4242748301324326,-0.07491177528449944,0.1843609486079737,0.32777784135529986
34,3,left,-0.3688050259826041,0.25683001039379816,0.3305055164977894,0.7815648591306538,0.0,0.026440441319823153,0.038524501559069724,0.038524501559069724,0.026440441319823153,0.15631297182613077,6.0,False,0.17493726313114166,-0.1386040819941109,0.22342175522358348,0.5566854951541913,0.29296353697311917,-2.8597197729920723,0.2903531315809519,0.8516192793823314,1.9588783763494977,1.1502002074995437,0.4999996893948846,0.29306626144477166
35,3,left,-2.6166210607206524,-0.17606744124898274,0.6685391242588938,0.1695376416386285,1.8803372062449137,0.053483129940711506,-0.02641011618734741,-0.02641011618734741,0.053483129940711506,0.0339075283277257,6.0,False,0.3735102713108063,-0.5485315162877242,0.0013351168661763088,0.838462642613246,0.9573635825446245,-0.6227300003277176,0.6278422488657833,1.3370927459702133,0.09831263282734959,1.432497088181611,0.4957805719388032,0.25248175220273994
36,3,left,-1.8200424225179412,-0.07759571016390716,0.14355504222143778,0.5045875096703104,1.3879785508195357,0.011484403377715023,-0.011639356524586074,-0.011639356524586074,0.011484403377715023,-0.10091750193406208,6.0,False,0.08429385721683502,-0.2923597722171978,0.12588901487683674,1.21176062699187,0.43532855202231424,-1.0653967633583168,0.0011584759980300206,0.9812512378217125,-0.6548027376561159,1.5661936516743324,-0.04999286178502227,0.2656126144652622
37,3,left,-1.593877835888697,-0.04660718426737041,0.1578835356766325,0.39862048185598464,1.2330359213368522,0.012630682854130599,-0.0069910776401055615,-0.0069910776401055615,0.012630682854130599,-0.07972409637119693,6.0,False,0.22030071914196014,-0.49194017686647595,0.1885729764273532,1.0484611930533454,-0.41708627997686554,-2.188274911934984,0.0193662986674009,0.5047134958089148,-0.6746001007222655,1.6007648019934573,0.045661690048789394,0.3716022855491343
38,3,left,-2.8453115025884306,-0.23517045548314303,0.17548633456005086,0.6205929167548,2.1758522774157147,0.01403890676480407,-0.03527556832247145,-0.03527556832247145,0.01403890676480407,-0.12411858335096,6.0,False,0.05759385600686073,-0.16039368340917703,0.17402982134928208,1.0353551981645468,0.4247155135149736,-1.6682436061500272,0.20579508101472144,1.0777488072400556,1.6713313712327507,3.1319433855921552,-0.15313798936112993,0.0904305814030722
39,3,left,0.09260669990393225,0.525902878087941,0.20705391100797335,0.5735806386267805,0.0,-0.01656431288063787,0.07888543171319115,0.07888543171319115,0.01656431288063787,0.11471612772535611,6.0,False,0.07840605825185776,-0.16168439069782814,0.22441459381006515,1.081554091014169,0.5406491247057135,-2.5410827041471515,0.2148520770425268,0.8036597351620074,-0.8284909199581207,2.041947989004318,0.12645026605709297,0.21854809007045828
40,4,left,-1.5670403726131183,-0.04086446828250716,0.17600400563244084,0.3878842582575877,1.204322341412536,0.014080320450595268,-0.0061296702423760735,-0.0061296702423760735,0.014080320450595268,-0.07757685165151755,6.0,False,0.2354314923286438,-0.45574276380064327,0.32140787480384053,0.9749374941688409,1.8023210693246359,-0.3643909872634503,0.059308651403378626,0.47330608929850915,2.014229301756492,2.678469943038742,-0.008432704959111637,0.277278780736369
41,4,left,-1.0492398256858206,0.060390485411893846,0.2947197775444509,0.39702288541792324,0.6980475729405307,0.02357758220355607,0.009058572811784077,0.009058572811784077,0.02357758220355607,0.07940457708358466,6.0,False,0.3383725583553314,-0.47246715050025134,0.2700001725792829,0.6994936380754974,2.92298706282185,-2.51726770058652,0.13334331503266333,0.40120838933192027,1.8050005601395505,1.5624007067592887,0.47407975874622443,0.3961688246517031
42,4,left,-0.29461430104873204,0.31805100267635145,0.3375784376919861,0.7427936512268347,0.0,0.027006275015358887,0.047707650401452716,0.047707650401452716,0.027006275015358887,0.14855873024536695,6.0,False,0.24817858636379242,-0.4006723109968743,0.07049551057192621,1.004954628072336,0.01311305021507092,-2.4376786731803928,0.21071513151032478,0.850643496775519,1.6584813271369203,3.111058051816597,0.46744610620942906,0.3889301014740174
