trial,generation,score,mean_signed_yaw_rate_rad_s,min_signed_yaw_rate_rad_s,mean_planar_speed_m_s,max_planar_speed_m_s,action_energy,left_body_vx_m_s,left_body_vy_m_s,left_planar_speed_m_s,left_yaw_rate_rad_s,right_body_vx_m_s,right_body_vy_m_s,right_planar_speed_m_s,right_yaw_rate_rad_s,slide_bias,slide_amp,slide_freq,slide_wave_n,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase_rad
46,3,-0.854202068868566,0.15397132067899091,0.15260691996296286,0.031307780553592554,0.03145189581308617,0.3219132721424103,0.023349191207851058,0.0206395083396344,0.031163665294098947,0.15533572139501897,0.023904256459073597,-0.020440358934619162,0.03145189581308617,-0.15260691996296286,0.2813319732741758,0.0720948887398817,0.22998371460988798,-2.546291098957123,0.9915556550124619,0.11025725814270819,2.88929316163866,0.6336093579378081
47,3,-1.9858594365111661,0.05984841371110754,0.052179584716078566,0.061256265128679745,0.06182223511884988,0.07371853291988373,0.053512440128778226,0.030958157350757836,0.06182223511884988,0.052179584716078566,0.0512934616635729,-0.03243906155496767,0.06069029513850961,-0.0675172427061365,0.28029336297699065,0.001056787805489041,1.089146620727449,-2.211148795199124,0.38749580763536695,0.6150183560990305,0.2726601782437639,2.269214051416294
48,4,-1.1370010284748997,0.09673027464856292,0.09099282976441307,0.025337389572256314,0.027136293939806422,0.2989802956581116,0.023536894372619088,-0.0002736585908477179,0.023538485204706205,0.10246771953271276,0.02506143258220236,0.010406874925514417,0.027136293939806422,-0.09099282976441307,0.33540130839714943,0.08919373528210901,0.601003252942302,-0.10523792698166412,0.9946836944890067,0.39501624707817246,1.726043633867251,-0.8763076425182312
49,4,-2.786482614944312,-0.13167664779669583,-0.13246708722560982,0.04208993586236362,0.043835760174803555,0.2108643651008606,0.04368073371775505,-0.0036833913695764543,0.043835760174803555,-0.13088620836778184,0.04020915675933715,0.003297127455185262,0.04034411154992368,0.13246708722560982,0.29952698579266945,0.12272203574919616,0.6278202658502995,2.2990450249927834,0.7781278914323309,0.19760849386862017,1.0668212989936912,-2.4950391435421775
50,4,-0.9426850317733612,0.07504543033599678,0.07467836352107682,0.010479363757046691,0.010523180078887244,0.103605255484581,0.008832236539631496,0.005558079522680083,0.010435547435206138,0.07541249715091676,0.00899377828601554,-0.005463448646659426,0.010523180078887244,-0.07467836352107682,0.19049973137558268,0.012894881206133928,0.2787043296527687,-1.8711783863448714,0.6015576899967455,0.05393068754130259,1.9979579587295664,0.5242390071272331
51,4,-1.4510512626693075,-0.00518166767234692,-0.006980932044591863,0.011433737169169442,0.011622025622737365,0.1783868968486786,-0.01105139492732999,0.002080093020854803,0.01124544871560152,-0.003382403300101977,-0.010491364141875854,0.005000275794206289,0.011622025622737365,0.006980932044591863,0.1516788345183879,0.12504070356730765,0.6985770508525295,1.3508892612180388,0.8436278842267876,0.10747860269343326,-0.3769513902614414,-0.04151921248513801
52,4,-1.7662264627088298,0.05217437295426479,0.04576037168481325,0.04591243397275405,0.04724370461107652,0.16150061786174774,0.0446391023182515,-0.015469911751504145,0.04724370461107652,0.04576037168481325,0.04260898086045215,0.013113156533988661,0.04458116333443159,-0.05858837422371632,0.4342482603323434,0.006706693350899073,0.29246574176108064,2.2260152223730945,0.5110530836138819,0.14822830678566984,0.8352121113700508,1.508508017979925
53,4,-0.8972065898228763,0.061825331772893996,0.06126768348741418,0.002811762262741849,0.003222562119976454,0.3960934579372406,-0.0025110861537888367,-0.002019740811430299,0.003222562119976454,0.06126768348741418,-0.0010500082133719293,0.002159190409507836,0.002400962405507243,-0.0623829800583738,0.47560137815727616,0.3318863163027801,0.9702070098301367,0.881954929812089,0.7658050246045564,0.2179947947703026,2.3255931168242983,0.7741298546974882
54,4,-3.5658345947280297,-0.24180832912099276,-0.24279077155697645,0.05002305753235521,0.050352254776916405,0.23571321368217468,0.0431083277813345,-0.024721485113152388,0.04969386028779401,-0.24279077155697645,0.0444074176447323,0.023734591196096458,0.050352254776916405,0.24082588668500904,0.08925675164822996,0.17085790916771637,0.9876903870162013,-0.2364100213016509,0.999998709850331,0.22206959324920733,1.0644409617958281,2.6065270407666867
55,4,-0.8071216154975845,0.24230483352916776,0.23944366563831285,0.05763530731223934,0.058025591321722386,0.252265065908432,0.055028310837780425,0.018407994311607168,0.058025591321722386,0.24516600142002268,0.05474361034639357,-0.01673707917097072,0.05724502330275629,-0.23944366563831285,0.29672864134330484,0.07884735495000682,0.880659593548382,-0.6072128865746378,0.8966132358384344,0.059659170235869904,0.8821918009803751,0.11865007091949575
56,4,-0.8742248501960473,0.21814318145518774,0.21706053468417905,0.053367578646374966,0.054210403494028066,0.14830444753170013,0.025943377181064764,0.04567046027858002,0.05252475379872187,0.21706053468417905,0.026935133433450706,-0.04704536570064618,0.054210403494028066,-0.2192258282261964,0.05023441653615882,0.3075547959926046,0.10417010832838726,0.7550386951221117,0.7417316924056598,0.05088525519130214,-0.8717279968120231,2.6828413417817876
57,4,-1.21341455288894,0.03864350625594082,0.0382905325007333,0.013179029715922875,0.013198962053812208,0.3141189217567444,0.009736277985277562,0.008911649134216073,0.013198962053812208,0.03899648001114834,0.009773246694139157,-0.008811667995338187,0.013159097378033544,-0.0382905325007333,0.18188871066358075,0.1554415190539367,0.7307783942563447,-0.1577964611694158,0.9925093518063082,0.057272941328886606,2.8373485506378264,0.04543805579712412
58,4,-3.8962077552087857,-0.2390938342489337,-0.24006061325070327,0.06871849231851812,0.06937059829860848,0.45534321665763855,0.0444312500252533,-0.053274233260557864,0.06937059829860848,-0.23812705524716415,0.04415538445341335,0.05180091671914085,0.06806638633842775,0.24006061325070327,0.6757283599353998,0.30095416527009033,0.5827607653747446,1.9325254236609624,0.6594209430546502,0.0728945172004674,-0.6583839336519302,-0.045398068179299145
59,4,-0.9280462767905133,0.4436600410788803,0.4431386062742318,0.10040066721854415,0.10041372270454542,0.3959675133228302,0.09457651612707756,0.03365939967718406,0.10038761173254288,0.4441814758835288,0.09432479776979132,-0.03443469519355897,0.10041372270454542,-0.4431386062742318,0.13885538750841026,0.00017993269317099562,1.005834723721843,2.9508934638446096,0.9687123747379136,0.08680017612633897,-0.14952512372140525,1.7830971017289459
60,5,-0.9174499502535414,0.4993816612220956,0.4968299891177376,0.10604411273037964,0.10627068436184446,0.16704770922660828,0.0952724198399554,0.047081040478881175,0.10627068436184446,0.4968299891177376,0.09562324652888475,-0.04531607581749169,0.10581754109891481,-0.5019333333264536,0.05208692344210584,0.1864895254395767,0.45602381092398436,2.142728423414277,0.8576417890613953,0.06080051824753913,-0.44085486523858597,1.35426722698275
61,5,-0.7233162378563234,0.23542500867495159,0.2336119417222129,0.05082325771433405,0.051332714787184854,0.23125779628753662,0.04811863637345843,0.014699502323201401,0.05031380064148325,0.2336119417222129,0.04859514231168175,-0.016539641807786064,0.051332714787184854,-0.23723807562769028,0.05573343300026103,0.19523778567639255,0.5269410761039042,0.26591670862678995,0.9999808877938637,0.07110558046352129,1.0658994532669448,0.22883068139960194
62,5,-4.059617716961807,0.12885237303016345,0.058255210150834014,0.0814042373828658,0.1302340019049846,0.30656346678733826,0.03170291617928033,0.007484743675308367,0.032574472860747,0.058255210150834014,0.10036511150720108,-0.08299240714869419,0.1302340019049846,-0.19944953590949285,0.4452187022855487,0.3025560324542695,0.9768535694575722,2.2058990838661217,0.6379596018678089,0.37431972011673204,-2.342049451300211,0.5326599033865604
63,5,-2.385122291262092,-0.09759317040730597,-0.10598118016988511,0.027140976546538652,0.031063142154754374,0.343733549118042,0.020433655885023976,-0.023396249864003918,0.031063142154754374,-0.10598118016988511,0.017954258406068176,0.014722696304607893,0.023218810938322933,0.08920516064472683,0.33440423838990696,0.41307786664062307,0.8590288997960303,1.4637968807778643,0.9035000322637257,0.16035567238507004,1.9331190223422752,2.7477208381684033
64,5,-0.9895794750519915,0.06840835799673373,0.06819246485256247,0.010900610724796356,0.010984391465327233,0.07235020399093628,-0.0037509962034651474,0.010324092373915674,0.010984391465327233,0.06862425114090498,-0.0038753080713556285,-0.01009880182301795,0.01081682998426548,-0.06819246485256247,0.1925579516014969,0.0430481094198952,0.10446258839178847,2.576562424208423,0.4787921688932212,0.05929745619148008,-1.2772585958089384,2.495470800167136
65,5,-1.5601497049164899,0.2567897574640877,0.24608579972959296,0.08842596066761901,0.10298628816415843,0.21596159040927887,0.03810652061351925,0.06327736444018449,0.07386563317107958,0.24608579972959296,0.06750212497856319,-0.07777942319925955,0.10298628816415843,-0.2674937151985825,0.054578657907935944,0.25928833025368525,0.5029859705785527,0.5230474210804017,0.9185149541249654,0.544946943935645,-0.7836270212462009,1.10001506397907
66,5,-0.8803215739891755,0.10150864498078593,0.08874833414797134,0.01052300025911733,0.013036052115291576,0.18416312336921692,-0.00800497873370898,0.0002821150309313835,0.008009948402943083,0.11426895581360053,-0.006328941064131739,-0.011396629315694398,0.013036052115291576,-0.08874833414797134,0.27520241049928557,0.19513232701271305,0.4697179980088464,2.8410016019052726,0.9999857770355352,0.24717522245525247,2.3527648341838763,-0.5086975685273387
67,5,-2.580636183482966,-0.12946948022543178,-0.12958839961446675,0.032930097660238175,0.03332263915639737,0.1768059879541397,0.031216155183454993,-0.00917846483313253,0.03253755616407899,-0.12958839961446675,0.031678749785023226,0.010337073686752848,0.03332263915639737,0.12935056083639682,0.21176434046131115,0.08284577639867674,0.24727900913549036,2.2752550134032905,0.872019350833199,0.05738101603941021,1.2189964448581652,3.133953048605693
68,5,-1.3734661337754883,0.018700765609170812,0.01816540311634481,0.015359252123305942,0.01557005436969163,0.16341494023799896,-0.010797652769958739,0.010624793096007454,0.015148449876920255,0.01816540311634481,-0.010053402807456934,-0.0118893096967894,0.01557005436969163,-0.01923612810199682,0.33669125609419387,0.032583329682196426,0.7457284985259627,-0.5637074157189925,0.7040072382567785,0.13792504969395653,-1.2847319888543773,-0.05819261088952521
69,5,-1.8221134310450533,-0.05341347550970924,-0.060987183149815806,0.01334750737545513,0.014843724825401047,0.2075350284576416,0.006293188754731086,-0.010042352722136499,0.011851289925509212,-0.04583976786960268,0.011135170743746587,0.009815505040487596,0.014843724825401047,0.060987183149815806,0.384537757710596,0.05653553634416637,0.9420702098409849,2.2225709940838136,0.7184571232617074,0.3358452911176673,1.4365687636849813,1.3245608891697591
70,5,-2.201486344932446,-0.034006645410951664,-0.03700467080642045,0.04223804295374184,0.043320614524945386,0.28416547179222107,0.027528094787850815,-0.033449658296760075,0.043320614524945386,-0.03700467080642045,0.0274762798337797,0.03064028183967568,0.04115547138253829,0.03100862001548288,0.19237783363598754,0.11954430950663178,0.5297838863669808,-1.940661773399733,0.9891045513222629,0.08049454404367132,1.1900072168468725,1.9049658081050023
71,5,-2.3505994491960798,-0.05934618539296869,-0.06551877303244676,0.041482532983422166,0.04258399616524433,0.1660027652978897,0.038970982803003686,0.010577962832685818,0.0403810698016,-0.06551877303244676,0.04214912637851148,-0.006070245046932724,0.04258399616524433,0.05317359775349062,0.11086778777887968,0.06436168443723912,0.10541399943297192,-1.9511215062232874,0.8276930235511236,0.3712787040850267,1.363709476017612,2.448119249507913
72,6,-0.6998270004711474,0.11095377363814288,0.10921553842207417,0.008218057822366629,0.008578543106300131,0.20914627611637115,0.006511059170654829,0.004398585530937194,0.007857572538433126,0.10921553842207417,0.0068698505471826085,-0.005137757807256423,0.008578543106300131,-0.1126920088542116,0.09589364413792502,0.4367747143500006,0.14191445392196378,2.4258214807038065,0.8633224903943171,0.11588386879575964,2.3518634281352018,0.6980815223168353
73,6,-4.954620793594597,-0.26356505765672755,-0.3158604655549126,0.09111112157208064,0.10876193888190028,0.31669580936431885,0.08434278669581384,-0.06866916106764855,0.10876193888190028,-0.3158604655549126,0.052764722364706064,0.051110667928324395,0.073460304262261,0.21126964975854254,0.18786336730276781,0.30756743332938735,0.3972493665606499,2.683069572910715,0.9938669780920757,0.6235444891452602,-0.0877112201040644,0.973504725958029
74,6,-1.9944222599997115,-0.04644302569370702,-0.05242648697593211,0.025098227471247254,0.02710352574535203,0.19833986461162567,0.01763500989612758,-0.014909386468521026,0.023092929197142478,-0.04045956441148194,0.01835445088525325,0.019942799214999543,0.02710352574535203,0.05242648697593211,0.24186630727200503,0.027944845725552763,0.37950634978669495,0.5284397881004108,0.8101447320700549,0.21995987188145827,1.6063265217328997,1.7459125987069886
75,6,-0.9313918729834475,0.4716426335520383,0.46752735462062117,0.1038358246049903,0.10384625474449875,0.2722277343273163,0.09558881535799414,0.04058106704997581,0.10384625474449875,0.4757579124834554,0.09431066935817638,-0.0434190071411777,0.10382539446548185,-0.46752735462062117,0.1716212054034732,0.23403901895301843,0.7147688667356884,2.9476401732301305,0.8713201563818608,0.07780649551320333,0.3395741329177513,0.8508976162463417
76,6,-0.5162504612235538,0.20562183600091266,0.2037174718995758,0.029458743544218416,0.02983991996443079,0.26227307319641113,0.015178431177741874,0.02569116677899602,0.02983991996443079,0.20752620010224954,0.014871325335230326,-0.024986968456073528,0.02907756712400604,-0.2037174718995758,0.1672577003641133,0.12101081724514905,0.5482867875685729,2.9592759083787996,0.9989820162343481,0.17130802584022947,-0.9721650141412663,1.7120272953508628
77,6,-2.282225361445248,0.16054908984773636,0.1442057808551822,0.10416630494753353,0.10987828770619956,0.11687429249286652,0.07936833897640384,0.05825736284621868,0.09845432218886749,0.1442057808551822,0.09439069797332837,-0.05624619316322011,0.10987828770619956,-0.17689239884029048,0.1688128973249048,0.16493027598822654,0.4681041335649079,1.95805491594884,0.6077344437944929,0.1723749466468759,0.528018001119519,2.5556860763570395
78,6,-3.368527757404207,-0.0813346865847312,-0.09659262223921365,0.08965304211476394,0.08982085356600597,0.13562655448913574,-0.07665467701545949,0.04616997940826171,0.08948523066352192,-0.06607675093024874,-0.088139881361404,-0.017295867972539482,0.08982085356600597,0.09659262223921365,0.1201872857905477,0.08258619791787683,0.4369917484476664,0.9502872978110704,0.7252469519202392,0.697376751147764,-0.9140528991949228,1.3024436248569558
79,6,-2.9575507768462965,-0.10548135208759064,-0.10816828107423711,0.055351297055016194,0.061441625636492345,0.39828434586524963,0.020143994524422008,-0.05804561004464446,0.061441625636492345,-0.10816828107423711,0.018942864492530964,0.0454731888014104,0.04926096847354005,0.10279442310094418,0.495607492388597,0.1926503497295129,1.0470079695596812,-2.3653639502988906,0.9478469852196091,0.3171090318013182,1.007286756091844,0.7580488607769578
80,6,-1.0891924185089314,0.33600009362810823,0.3109959812555769,0.08568214220267173,0.09752521085912894,0.2869405150413513,0.060396874577726134,0.04247853956300399,0.07383907354621452,0.3109959812555769,0.08305577756200745,-0.051116578198153094,0.09752521085912894,-0.3610042060006395,0.3080022087954616,0.28645432799994935,0.2914964550154665,2.4716422525767765,0.905628373839573,0.2848817904257312,-0.07074511524790328,-0.0033358229099165193
81,6,-3.3575130041368277,-0.16087916948767633,-0.17384083389948213,0.061803657362076214,0.06301291068598566,0.3079468607902527,0.054340687601529214,-0.03190167055364053,0.06301291068598566,-0.14791750507587054,0.0432293870358931,0.04246059228557179,0.060594404038166766,0.17384083389948213,0.31567075562585856,0.11041474250170633,0.10369013876210843,-1.6204557835141187,0.9991062839633821,0.6359122434417803,0.9434361756859535,-0.21161645570960408
82,6,-1.3360140163919427,0.027605677664365724,0.02232664168618485,0.01385548344677117,0.015347328240781872,0.21400150656700134,0.012435620229673745,0.00899421111791523,0.015347328240781872,0.0328847136425466,0.012174731312620063,-0.002153016070897127,0.01236363865276047,-0.02232664168618485,0.05023099024132425,0.094787665880636,0.11064272186284752,1.04755929148401,0.9599168960629405,0.17777763942976277,2.916731801791723,-0.8130474657564588
83,6,-2.1585895393757517,0.09032380397188891,0.08004669610399835,0.07597523580689691,0.0808702124598825,0.18800537288188934,0.07698015198078774,0.02477998112027846,0.0808702124598825,0.10060091183977948,0.06856650753871403,-0.018735989040631545,0.07108025915391132,-0.08004669610399835,0.25196384446191517,0.3737797872275589,0.536025405260899,0.9186485201186843,0.5598819935034169,0.28522285707005124,0.6541799001792592,1.0797570881445289
84,7,-2.087486168446405,0.347712793208072,0.3064504574064865,0.1343191765269446,0.1544143221287861,0.17269782721996307,0.10757176823437052,0.038411507646925115,0.11422403092510312,0.3064504574064865,0.1513775696206686,-0.030473173353495028,0.1544143221287861,-0.38897512900965747,0.05140043533630988,0.0006194507511580205,0.11672155640311867,1.1126877667199677,0.8934272769911001,0.6609828057281762,-0.3691589865281921,0.8189298777073879
85,7,-1.228417717517468,0.052072295386737744,0.05115084448145805,0.018021314430740586,0.018469735617263675,0.23552225530147552,0.008942645900579565,0.01512731507140353,0.017572893244217496,0.05115084448145805,0.008619099480273616,-0.01633530709600421,0.018469735617263675,-0.05299374629201744,0.06753522878083315,0.06367221334287967,0.7119203797500594,0.04313459322690161,0.999040560540511,0.054673020474531216,-2.9957383785145346,-0.3504039508777028
86,7,-1.1019068058103534,0.10392559140784327,0.10238950813554548,0.02684049610369494,0.02867828241454174,0.15534688532352448,-0.024713408908861773,0.014549615195997642,0.02867828241454174,0.10238950813554548,-0.022993916260157312,-0.009819129900671323,0.025002709792848143,-0.10546167468014105,0.05049386665237465,0.2758849912329788,0.4132902739559192,1.6354151468325924,0.7527710536081165,0.14251792773094507,-0.5067057986946821,0.6582355433352598
