trial,generation,score,mean_signed,min_signed,max_signed,mean_abs_vx,mean_abs_yaw,mean_abs_err,below_count,wrong_count,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
46,4,0.9370883816870759,0.06855382531735939,0.04994108193633179,0.0842121559805522,0.0093100548761488,0.12279706723516666,0.031053825317359396,0,0,-0.7243898366629049,0.0837299948515545,1.0503631494327212,0.5670587903803841,-0.4326837703303341,0.4585178567296744,1.1719446883269873,-2.9758467618871682,-1.192291460045701,0.0976393331007448,-0.3037280111273395
47,4,1.2973716061076024,0.03134268129653869,0.02749945713286014,0.034958476669322065,0.007569768196780111,0.11572350445527275,0.0061573187034613085,1,0,-0.6215709349869758,0.054260278940408066,1.0557753338224816,1.3616912428450334,-0.7145563119609717,0.2701985096802156,1.0231309218461242,-2.8935036864228727,0.7416201889686547,0.16347728281791385,-0.20575316079393502
48,4,2.760709037032409,0.04793883599938098,0.047037040466169557,0.0486183239944853,0.01286258383613282,0.1563687029244916,0.010438835999380983,0,0,-0.8470563214443834,0.006797061024545043,1.051614602042751,0.9946776757642226,0.20567765444103037,0.33781848706004425,1.0976296323093615,-2.9255970060585423,0.1574666961321496,0.12318925818542881,-0.3396493278884248
49,4,2.76909651789487,0.042206032959593666,0.03756005130793952,0.04579289749274942,0.028236947701362158,0.21387087436270305,0.004706032959593665,0,0,-0.7870813875782353,0.2463485190225414,1.1527422866756392,1.7883750207132953,0.42737670241147585,0.42296049512955475,0.9254949716532096,-2.852254243739168,0.7378261589371697,0.3860094497074025,-0.3706995710848554
50,5,1.0666927409873126,0.03322966671007465,0.027934185228918496,0.03957754177234969,0.015982366744337135,0.17313204222418643,0.005655361138158478,1,0,-0.7075010339395086,0.01665082972390412,1.2260885422087595,0.8390637053231189,0.6952213163180065,0.3726867836064658,0.8867847714964132,-2.9899813563769984,1.299105236125654,0.3633682197098632,-0.256263285537978
51,5,3.223580703723163,0.040382597383179335,0.03813233219724819,0.044786613842736994,0.010881570822538858,0.1623411543575789,0.002882597383179334,0,0,-0.5823376512225751,0.005375227519137217,1.2440659565059753,1.2992870409318797,1.1471826327683141,0.3919234181135771,0.8993861543793453,-2.8957470168561867,0.7288771345314462,0.24625175495410023,-0.3924393333944273
52,5,1.0342563387234285,0.07035310279817053,0.06579942908345451,0.07276254831263422,0.012810306369385944,0.18599051442424938,0.03285310279817053,0,0,-0.9169346788772972,0.027505350910231926,1.0419746775450403,0.25128075266332406,0.41575532582377805,0.3930639370093719,1.0467803323575824,-2.729058275824367,0.6271411174650336,0.1840462519185938,-0.324415590476216
53,5,3.463022708982771,0.0398487632840435,0.03784610148395461,0.04191713770284752,0.005981139662204965,0.11421843643398538,0.0023487632840435008,0,0,-0.8887450885461599,0.04387732204684349,1.166506059967546,1.7177987000592116,-0.3871971664770437,0.5051193932806227,0.810264361188886,-2.974397331956491,0.0896514070847898,0.3636877072067817,-0.246068835251783
54,5,1.1186580586707828,0.06680436938057867,0.06357499117489855,0.06969536482569491,0.02593841575243581,0.16496187041351643,0.029304369380578676,0,0,-0.8279746501808127,0.07380692924056825,1.2114370344572822,0.8350278248681815,-0.6195970768156283,0.6180507611658139,0.8424137827534407,-2.5450345925845848,0.8541702208412016,0.0878489884689524,-0.3687891765364695
55,5,0.6249435593894752,0.06852955967359652,0.05439862015586238,0.07769643953533502,0.033230601234744236,0.19051396787581687,0.03102955967359652,0,0,-0.7795981578040588,0.1557685742947995,1.2664984798073209,1.612001954690065,0.30114678577373866,0.3615735014751582,1.0373722758429313,-2.418410706640599,-0.05424289230324053,0.010501388942348866,-0.3675194707830045
56,5,2.896608233789428,0.04149286284951478,0.03524103113196383,0.0452059094829478,0.01864558717815783,0.18714181840030875,0.0054988420948722345,0,0,-0.830498977389134,0.0673966539922504,1.2300958195887222,1.3394563090400267,0.8902049100162657,0.40418540380406737,0.9042264491985946,-2.9922424529253684,1.157602770806002,0.26945047425202484,-0.3851544226687333
57,5,2.497352431136093,0.04542905771469433,0.03226981014655176,0.054414616632580036,0.013677679335166537,0.16003610241648483,0.011415850950326495,0,0,-0.7859348933365267,0.0009570350135777506,1.1705249743864754,0.6631806514589389,0.596086225080132,0.6125140672213708,0.85864133174561,-2.8538443174487793,0.7777751996838682,0.16279638069744706,-0.3980401490564617
58,5,1.772451575790633,0.05802194951788029,0.05551740304214899,0.061484751506327075,0.015956385945986317,0.17521160398794813,0.020521949517880292,0,0,-0.7495388920868508,0.04551236165721229,1.113236276218143,1.8252198933982626,-0.009506071713795805,0.3745293045215483,0.9642732572100481,-2.345350902912258,-0.07966648119734199,0.20872078800781313,-0.39905997229568235
59,5,0.6565689476665241,0.06669662832246745,0.05607100559530994,0.08685097300169008,0.007599633897161552,0.19522075676043263,0.029196628322467454,0,0,-0.8127698153657186,0.24347491724911707,1.2348797377065308,1.3814943296793398,-0.16740478916261736,0.41872626874054875,1.0960885408763,-2.958548798733108,1.2744094440849532,0.1659946499152698,-0.39705458769180213
60,6,-0.7303352698428136,0.02739897356598311,0.022116114794750872,0.031653515649997334,0.007887176581636979,0.09754839751898255,0.010101026434016886,2,0,-0.8337917903385818,0.04279747749476091,1.3153207108545968,2.0526371904936482,0.10273647598679325,0.4403530872249406,0.6350690842828205,-2.897608003022811,0.7489621199492249,0.18640172821472734,-0.33850471735467014
61,6,2.61713737655922,0.04826622989037647,0.044919600551222294,0.05356694964264997,0.015188146921989906,0.18042956274277075,0.010766229890376474,0,0,-0.9424530545258324,0.008245718499010941,1.2806014669450936,1.649054597087182,1.2154521276098977,0.36964867886011865,0.9919989364069101,-2.929806245194185,0.9834443027743536,0.23117863308884823,-0.3417886219623915
62,6,0.9781414967120535,0.06468288513603196,0.06194118172049024,0.06922533092849141,0.0343459846922767,0.19774690518388136,0.027182885136031957,0,0,-0.825541171492605,0.019691641163310417,1.2518124653307297,1.5891364886987258,0.8243808735548761,0.5659900393264512,0.777859221983163,-2.641673594236477,0.08261665093870807,0.384427986813461,-0.3647814741975757
63,6,2.212222788287184,0.0533113481934877,0.046822227666991435,0.06028577383940556,0.019631861883520917,0.14483533461400955,0.0158113481934877,0,0,-0.6704420207691457,0.04821516962600133,1.150298899771172,1.7733382326225984,-0.02938568467501579,0.405436232197443,0.6301914675781438,-2.6608502596457333,0.5253935421576132,0.23267027837914378,-0.35386935600026714
64,6,0.9215915330647536,0.0636469633784154,0.05849592343121781,0.07124150414326723,0.02663613886980278,0.23254871562834636,0.026146963378415405,0,0,-0.7583188595114868,0.005051928659211156,1.1545248910864228,1.5930913395561124,0.9511065027289423,0.44431083315279096,1.0813788195785314,-2.89615891106576,0.7726353428190831,0.4075849069710641,-0.34244006435012103
65,6,2.1150410411918594,0.05545687627361146,0.04975381743806923,0.06141207208602334,0.007977623036180234,0.1612934790414888,0.017956876273611467,0,0,-0.8168319853146142,0.003650077269417363,1.199302176449193,1.3164430751105467,-0.16584008834842212,0.5159988913677532,1.02256710748089,-2.9999899426533676,0.42097844134214046,0.23363665212194362,-0.3374018784765294
