trial,generation,direction,score,axial_term,lateral_penalty,yaw_penalty,axial_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_axial_m_s,abs_lateral_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
10,0,reverse,-1.4773326783471847,-0.026516750680654223,0.09742093981284357,0.23721757805788668,1.0662918767016356,0.006629187670163556,-0.007793675185027485,-0.006629187670163556,0.007793675185027485,-0.047443515611577336,6.0,False,0.05970773100852966,-0.16006140548201875,0.2990021828851176,0.8203620306957511,2.076857651093648,1.0698061722028225,0.0055652691555883845,1.1315473440611061,-0.47401099926180734,-1.444647029145367,-0.04825893034528411,0.05835587759634764
11,0,reverse,-2.308157927971797,-0.25923294368917316,0.059316411378830716,0.05152182147344401,1.6480823592229328,0.06480823592229329,0.004745312910306458,-0.06480823592229329,0.004745312910306458,-0.010304364294688803,6.0,False,0.4742833077907562,-0.557256128115697,0.5843234805561666,0.5201471062011429,2.9106498088724324,0.7226040774992475,0.38160324686394875,1.494463995864021,0.23809166899814738,1.475037652038747,-0.2546558483911446,-0.2626091887919864
12,1,reverse,-1.5989962201799592,-0.04127876216491671,0.054786484095125265,0.43140425053239967,1.1031969054122919,0.010319690541229177,0.004382918727610021,-0.010319690541229177,0.004382918727610021,0.08628085010647994,6.0,False,0.20690220594406128,-0.41581279993210374,0.3101123212909722,0.2772440234556197,1.9437389486735377,1.458137836051776,0.13090136027925298,0.7527325997538019,-1.5150806323855077,-2.582787530003797,-0.04035247366559097,-0.266959800394727
13,1,reverse,-1.6992080185725034,-0.11379533280507603,0.04009636675573908,0.029220647236075648,1.28448833201269,0.028448833201269008,0.003207709340459126,-0.028448833201269008,0.003207709340459126,-0.0058441294472151295,6.0,False,0.2407378852367401,-0.35314988068731,0.4555941410451128,0.8971921830124922,2.9972391364163107,3.0804276963965567,0.08383971195413448,1.499901505856719,1.0986611921671976,-0.7703961880328469,-0.2704826062532252,-0.16323857096232075
14,1,reverse,-1.4380251063051586,-0.03084882176603115,0.05398081440741531,0.17254509242214833,1.077122054415078,0.0077122054415077875,-0.004318465152593225,-0.0077122054415077875,0.004318465152593225,-0.034509018484429665,6.0,False,0.09484991431236267,-0.24908681577426683,0.2984560580986691,1.0410074455798075,1.9776976416748653,3.0738311214828666,0.0049451761961223665,1.310868689429968,1.9029978410227253,-1.9314011141554286,-0.01602645578009476,0.09540975196398771
15,1,reverse,-1.4549197042217834,-0.023773811284358903,0.15794246729367586,0.11966185689740134,1.0594345282108972,0.005943452821089726,-0.01263539738349407,-0.005943452821089726,0.01263539738349407,0.02393237137948027,6.0,False,0.1657009869813919,-0.4790915391296683,0.045034268518489164,0.7420707228401363,1.6072883186252067,1.8165496179257197,0.23176089271800315,1.4996601602312063,-0.19498258760585951,0.5757069481419648,0.13752631363363788,0.08750462989075591
16,1,reverse,-3.4667274465439877,-0.40156617573499404,0.11278782201614482,1.294723343254427,2.003915439337485,0.10039154393374851,-0.009023025761291586,-0.10039154393374851,0.009023025761291586,0.2589446686508854,6.0,False,0.22625774145126343,-0.4688075430948695,0.1375035990820362,1.154703108134527,1.9892339071078906,2.1868110192165187,0.3509885818210432,1.1008165332018622,0.9403920184046752,-0.5940819425539172,-0.29680331787167247,0.0053556022018895755
17,1,reverse,-3.8333269748598537,-0.21904644544368482,1.3455602009887484,1.9560048076764875,1.547616113609212,0.054761611360921204,-0.10764481607909987,-0.054761611360921204,0.10764481607909987,-0.39120096153529754,6.0,False,0.11624494940042496,-0.07329370988016237,0.3198706619852073,1.1269206289669695,2.2428058834029194,2.117008202615205,0.3919817279190184,1.2655284023368651,-1.2002979765303246,-0.6171522263338156,-0.259863137231635,0.22430382630880386
18,1,reverse,-1.909625949053824,0.026581945798958995,0.5696369953076194,0.9797009314755889,0.9335451355026025,-0.006645486449739749,0.045570959624609546,0.006645486449739749,0.045570959624609546,0.19594018629511778,6.0,False,0.24121330678462982,-0.40795871040652776,0.3470244079119814,0.6419988803173685,2.9946090585259624,1.9462339025060915,0.32631268208942626,0.7816085316858711,-1.0232892435826118,-2.7615717939888573,0.005745103715629196,-0.3998812759460666
19,1,reverse,-1.6194243842076856,-0.0574955055470624,0.07259383346511715,0.3119305105801799,1.143738763867656,0.0143738763867656,-0.005807506677209372,-0.0143738763867656,0.005807506677209372,-0.06238610211603598,6.0,False,0.09438202530145645,-0.19937430239637988,0.37308520358649144,0.5623581004151633,2.5632129469035725,2.830085521952417,0.07793754088196048,0.9287030337985648,1.82558423086709,-2.455366794405815,-0.13312594220139956,0.025829767291061123
20,1,reverse,-3.593976456434147,-0.3494869477071841,0.4353682187324268,1.5636676703118986,1.8737173692679603,0.08737173692679602,0.034829457498594146,-0.08737173692679602,0.034829457498594146,-0.31273353406237975,6.0,False,0.46944358944892883,-0.6741149001091339,0.34928956591171445,1.1397268615295222,2.249055787099188,2.96511732928205,0.43065143488129976,0.9707180726106855,0.9527615126961306,-0.24513731349728207,0.24731209763403084,0.09272261248344299
21,1,reverse,-1.7266599315154683,-0.0046445031835123446,0.4706386311789907,0.4400059805297918,1.0116112579587808,0.0011611257958780861,0.03765109049431926,-0.0011611257958780861,0.03765109049431926,0.08800119610595836,6.0,False,0.20820586383342743,-0.18511063769274705,0.7365984713348241,0.4914503220327481,2.4546295687867437,2.7959674360568307,0.1579283240276778,1.3690600507223754,-1.392603148413124,-2.866061165987647,0.21080237598448992,0.01339831466918523
22,1,reverse,-1.9895181499838874,-0.036408132397083216,0.626276289805703,0.513564895170722,1.091020330992708,0.009102033099270804,0.050102103184456244,-0.009102033099270804,0.050102103184456244,0.1027129790341444,6.0,False,0.28509145975112915,-0.5881439523443963,0.1947083641409308,0.7544566014747631,0.8554710099685394,0.2197449809075831,0.27593541009574907,1.485283151412972,0.21617567849300556,-2.9672298060656295,-0.05826223522768714,-0.1441757153666502
23,1,reverse,-3.4194293105215703,-0.3274752309305366,0.4386112548424154,1.3832443572184805,1.8186880773263414,0.08186880773263415,0.035088900387393235,-0.08186880773263415,0.035088900387393235,0.2766488714436961,6.0,False,0.09855552017688751,-0.18208519642971743,0.22028082154844567,1.2825828477145933,1.6575008928762633,0.6327065081954819,0.2532200535548415,0.8635136367857258,0.1793503608138547,-3.071008889909528,0.1170686557095656,-0.35675363832891377
24,2,reverse,-1.2791373648035727,0.009701936863041969,0.13642204018057766,0.06453418520201055,0.975745157842395,-0.0024254842157604923,0.010913763214446212,0.0024254842157604923,0.010913763214446212,0.012906837040402111,6.0,False,0.011520139873027802,-0.018834785767527173,0.021200000963716915,0.8549792252716052,1.0782847288779198,3.1399214322191247,0.21422360650381542,1.427990663490102,1.833320417311242,-2.3601892569164136,0.0341757438344098,-0.01150659873806531
